SENTIDO,LATITUD,LONGITUD,anio,mes,dia,hr,greater_mean
Ingreso,-34.588796,-58.38152,2021,5,27,11,True
Interna,-34.618036,-58.410236,2020,12,13,13,True
Interna,-34.579632,-58.427733,2020,7,13,9,True
Interna,-34.633299,-58.468594,2021,5,17,18,False
Ingreso,-34.633299,-58.468594,2020,8,9,22,False
Interna,-34.53698,-58.470968,2020,12,19,12,True
Interna,-34.633299,-58.468594,2020,6,13,2,False
Interna,-34.633299,-58.468594,2022,1,29,18,False
Ingreso,-34.633299,-58.468594,2021,3,28,17,True
Interna,-34.588796,-58.38152,2021,7,8,23,False
Interna,-34.53698,-58.470968000000006,2020,5,28,19,True
Egreso,-34.633299,-58.468594,2020,3,18,12,True
Egreso,-34.633299,-58.468594,2022,1,18,9,True
Egreso,-34.633299,-58.468594,2020,3,9,10,True
Interna,-34.588796,-58.38152,2021,10,12,11,False
Egreso,-34.579632,-58.427733,2021,9,13,2,False
Egreso,-34.633299,-58.468594,2020,4,9,9,False
Egreso,-34.633299,-58.468594,2021,1,2,22,False
Interna,-34.618036,-58.410236,2021,12,3,1,False
Interna,-34.60855,-58.372951,2021,5,15,9,True
Interna,-34.53698,-58.470968000000006,2020,3,29,9,False
Interna,-34.588796,-58.38152,2021,7,29,5,False
Ingreso,-34.633299,-58.468594,2021,6,5,1,False
Egreso,-34.633299,-58.468594,2020,10,1,8,True
Ingreso,-34.633299,-58.468594,2022,2,10,2,False
Egreso,-34.579632,-58.427733,2022,2,17,17,False
Interna,-34.618036,-58.410236,2020,8,21,2,False
Ingreso,-34.588796,-58.38152,2020,11,29,15,False
Interna,-34.618036,-58.410236,2020,9,23,16,True
Ingreso,-34.588796,-58.38152,2021,6,29,16,True
Ingreso,-34.633299,-58.468594,2020,12,17,3,False
Egreso,-34.633299,-58.468594,2021,7,1,13,True
Interna,-34.588796,-58.38152,2021,6,17,12,True
Egreso,-34.588796,-58.38152,2021,9,24,17,True
Ingreso,-34.588796,-58.38152,2021,3,9,8,True
Egreso,-34.579632,-58.427733,2022,2,23,16,False
Interna,-34.633299,-58.468594,2020,9,17,13,False
Interna,-34.53698,-58.470968,2021,1,10,12,False
Egreso,-34.579632,-58.427733,2020,11,10,23,False
Interna,,,2022,1,21,14,False
Ingreso,-34.588796,-58.38152,2020,11,15,20,True
Interna,-34.633299,-58.468594,2020,11,15,23,False
Egreso,-34.588796,-58.38152,2021,9,18,1,False
Ingreso,-34.588796,-58.38152,2020,7,25,19,False
Interna,-34.633299,-58.468594,2020,9,10,14,False
Interna,-34.60855,-58.372951,2020,7,2,4,False
Ingreso,-34.633299,-58.468594,2021,2,4,6,True
Interna,-34.588796,-58.38152,2020,7,13,19,True
Ingreso,-34.588796,-58.38152,2021,10,16,6,False
Interna,-34.618036,-58.410236,2021,6,6,1,False
Interna,-34.588796,-58.38152,2020,4,20,9,True
Interna,-34.53698,-58.470968,2020,10,26,10,False
Interna,-34.618036,-58.410236,2021,5,4,16,True
Egreso,-34.633299,-58.468594,2021,10,26,5,False
Interna,-34.618036,-58.410236,2021,11,30,4,False
Interna,,,2022,1,18,0,False
Interna,-34.588796,-58.38152,2021,9,4,19,False
Interna,-34.618036,-58.410236,2020,11,1,6,False
Interna,-34.588796,-58.38152,2020,7,18,19,False
Ingreso,-34.633299,-58.468594,2021,5,31,18,True
Interna,-34.579632,-58.427733,2020,12,1,6,False
Interna,-34.588796,-58.38152,2020,11,29,3,False
Interna,-34.588796,-58.38152,2021,10,1,20,False
Interna,-34.579632000000004,-58.427733,2020,4,19,8,False
Ingreso,-34.588796,-58.38152,2020,4,23,20,False
Interna,-34.618036,-58.410236,2022,1,28,20,True
Interna,-34.53698,-58.470968,2021,9,30,22,False
Interna,-34.633299,-58.468594,2021,6,6,13,False
Egreso,-34.633299,-58.468594,2020,5,14,20,True
Interna,-34.60855,-58.372951,2020,5,27,17,True
Interna,-34.60855,-58.372951,2020,6,25,18,True
Egreso,-34.588796,-58.38152,2021,12,6,0,False
Interna,-34.588796,-58.38152,2022,2,15,22,False
Interna,-34.633299,-58.468594,2020,12,24,16,False
Interna,-34.588796,-58.38152,2020,8,2,12,False
Interna,-34.618036,-58.410236,2020,9,20,16,True
Egreso,-34.579632,-58.427733,2021,12,2,17,False
Egreso,-34.633299,-58.468594,2020,9,19,23,False
Interna,-34.588796,-58.38152,2020,9,27,19,False
Egreso,-34.588796,-58.38152,2020,12,22,3,False
Interna,-34.633299,-58.468594,2021,10,11,16,False
Interna,-34.53698,-58.470968,2021,10,18,11,True
Interna,-34.53698,-58.470968000000006,2020,6,24,5,False
Egreso,-34.633299,-58.468594,2021,9,15,12,True
Interna,-34.588796,-58.38152,2020,3,13,15,True
Egreso,-34.579632,-58.427733,2020,12,7,6,False
Interna,-34.618036,-58.410236,2021,7,2,15,False
Ingreso,-34.588796,-58.38152,2020,9,27,18,False
Interna,-34.618036,-58.410236,2020,3,23,9,False
Interna,-34.60855,-58.372951,2020,11,9,1,False
Ingreso,-34.588796,-58.38152,2020,11,2,23,False
Ingreso,-34.588796,-58.38152,2021,10,27,19,True
Interna,-34.60855,-58.372951,2022,2,4,0,False
Egreso,-34.579632,-58.427733,2020,8,15,5,False
Egreso,-34.588796,-58.38152,2020,3,23,13,False
Egreso,-34.633299,-58.468594,2021,9,29,3,False
Interna,-34.53698,-58.470968,2021,12,25,20,True
Egreso,-34.633299,-58.468594,2020,8,5,1,False
Ingreso,-34.633299,-58.468594,2020,12,2,9,True
Ingreso,-34.633299,-58.468594,2021,11,23,23,False
Egreso,-34.579632,-58.427733,2021,6,8,15,False
Interna,-34.60855,-58.372951,2021,7,24,1,False
Interna,-34.60855,-58.372951,2020,6,15,6,False
Ingreso,-34.633299,-58.468594,2020,9,25,15,True
Ingreso,-34.633299,-58.468594,2020,3,13,14,True
Interna,-34.579632,-58.427733,2020,11,8,13,True
Ingreso,-34.633299,-58.468594,2021,3,23,22,False
Ingreso,-34.588796,-58.38152,2020,7,28,2,False
Interna,-34.60855,-58.372951,2021,2,4,12,True
Ingreso,-34.633299,-58.468594,2021,1,18,9,True
Interna,-34.618036,-58.410236,2020,12,28,0,False
Interna,-34.618036,-58.410236,2021,9,10,12,False
Interna,,,2021,12,14,14,False
Interna,-34.633299,-58.468594,2020,4,20,21,False
Interna,-34.60855,-58.372951,2020,4,5,12,False
Egreso,-34.579632,-58.427733,2021,9,8,5,False
Interna,-34.579632,-58.427733,2020,10,6,12,True
Interna,-34.588796,-58.38152,2022,2,27,9,False
Egreso,-34.588796,-58.38152,2020,4,14,22,False
Ingreso,-34.633299,-58.468594,2022,1,23,12,True
Interna,-34.60855,-58.372951,2020,9,18,11,True
Interna,-34.618036,-58.410236,2021,8,21,15,False
Ingreso,-34.633299,-58.468594,2021,9,30,22,False
Interna,-34.53698,-58.470968,2020,7,1,13,False
Interna,-34.579632,-58.427733,2021,11,6,23,True
Interna,-34.579632,-58.427733,2020,12,1,2,False
Interna,-34.60855,-58.372951,2021,8,19,7,False
Ingreso,-34.588796,-58.38152,2022,2,7,21,False
Ingreso,-34.633299,-58.468594,2021,5,21,6,True
Ingreso,-34.633299,-58.468594,2020,8,30,2,False
Ingreso,-34.588796,-58.38152,2021,7,12,4,False
Egreso,-34.633299,-58.468594,2020,11,17,14,True
Egreso,-34.579632,-58.427733,2021,3,15,19,False
Interna,-34.579632,-58.427733,2021,3,1,1,False
Ingreso,-34.633299,-58.468594,2021,8,23,14,True
Egreso,-34.633299,-58.468594,2022,2,22,9,True
Interna,-34.588796,-58.38152,2021,9,11,22,False
Interna,-34.53698,-58.470968,2021,5,19,23,False
Interna,-34.618036,-58.410236,2021,4,3,6,False
Interna,-34.618036,-58.410236,2021,11,7,2,False
Egreso,-34.579632,-58.427733,2020,11,30,4,False
Interna,-34.588796,-58.38152,2021,10,17,10,True
Interna,-34.60855,-58.372951,2020,7,1,23,False
Ingreso,-34.633299,-58.468594,2021,8,12,19,True
Interna,-34.633299,-58.468594,2020,10,15,16,False
Ingreso,-34.588796,-58.38152,2021,9,6,21,False
Interna,-34.579632,-58.427733,2021,10,27,3,False
Interna,-34.53698,-58.470968,2020,11,11,16,True
Interna,-34.588796,-58.38152,2021,12,27,13,True
Egreso,-34.633299,-58.468594,2021,12,11,8,True
Ingreso,-34.588796,-58.38152,2021,12,2,12,True
Egreso,-34.633299,-58.468594,2020,6,16,17,True
Interna,-34.579632,-58.427733,2021,10,18,15,True
Egreso,-34.633299,-58.468594,2020,12,5,21,True
Egreso,-34.588796,-58.38152,2021,6,25,1,False
Interna,-34.588796,-58.38152,2020,5,15,15,True
Egreso,-34.633299,-58.468594,2020,5,12,12,True
Ingreso,-34.633299,-58.468594,2021,1,16,4,False
Ingreso,-34.588796,-58.38152,2022,3,1,11,False
Egreso,-34.633299,-58.468594,2021,12,12,17,True
Interna,-34.53698,-58.470968,2021,10,19,5,False
Interna,-34.618036,-58.410236,2021,4,20,19,True
Egreso,-34.588796,-58.38152,2021,6,27,23,False
Ingreso,-34.633299,-58.468594,2021,3,5,21,True
Egreso,-34.633299,-58.468594,2020,7,25,0,False
Interna,-34.60855,-58.372951,2021,7,29,1,False
Interna,-34.60855,-58.372951,2020,6,17,8,True
Interna,-34.53698,-58.470968,2021,6,11,17,True
Egreso,-34.633299,-58.468594,2020,12,20,2,False
