"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"DISCRETIZED"
1	0.71797767347755	1	1	"Churn"	0
2	0.706000554323725	1	1	"Churn"	0
3	0.706652126499455	1	1	"Churn"	0
4	0.672501897293195	1	1	"Churn"	0
5	0.701689312301525	1	1	"Churn"	0
6	0.701613280336685	1	1	"Churn"	0
7	0.667501978369823	1	1	"Churn"	0
8	0.702009303217762	1	1	"Churn"	0
9	0.694270071014257	1	1	"Churn"	0
10	0.695184630738523	1	1	"Churn"	0
11	0.686322062084257	1	1	"Churn"	0
12	0.714572271386431	1	1	"Churn"	0
13	0.700657266231037	1	1	"Churn"	0
14	0.664969135802469	1	1	"Churn"	0
15	0.679312264339205	1	1	"Churn"	0
16	0.718229166666667	1	1	"Churn"	0
17	0.666213768115942	1	1	"Churn"	0
18	0.693212669683258	1	1	"Churn"	0
19	0.709727566202485	1	1	"Churn"	0
20	0.691984586219287	1	1	"Churn"	0
21	0.733189151274258	1	1	"Churn"	0
22	0.689286097180364	1	1	"Churn"	0
23	0.654609455966264	1	1	"Churn"	0
24	0.683433133732535	1	1	"Churn"	0
25	0.699551623267635	1	1	"Churn"	0
26	0.710154967159278	1	1	"Churn"	0
27	0.656847935548842	1	1	"Churn"	0
28	0.710807186913382	1	1	"Churn"	0
29	0.708798717144252	1	1	"Churn"	0
30	0.681760882194964	1	1	"Churn"	0
1	0.693590834325903	2	2	"Churn"	0
2	0.681961077844311	2	2	"Churn"	0
3	0.719553446417287	2	2	"Churn"	0
4	0.698807326078508	2	2	"Churn"	0
5	0.727264805326083	2	2	"Churn"	0
6	0.714831634913602	2	2	"Churn"	0
7	0.7199840375475	2	2	"Churn"	0
8	0.68903029911493	2	2	"Churn"	0
9	0.695513731060606	2	2	"Churn"	0
10	0.694826713888186	2	2	"Churn"	0
11	0.673918552036199	2	2	"Churn"	0
12	0.684344219102566	2	2	"Churn"	0
13	0.704179459128819	2	2	"Churn"	0
14	0.725667774848103	2	2	"Churn"	0
15	0.714442365594062	2	2	"Churn"	0
16	0.702377414561664	2	2	"Churn"	0
17	0.68380707867229	2	2	"Churn"	0
18	0.722406833062571	2	2	"Churn"	0
19	0.692190618762475	2	2	"Churn"	0
20	0.690671031096563	2	2	"Churn"	0
21	0.689777879814039	2	2	"Churn"	0
22	0.696282679738562	2	2	"Churn"	0
23	0.679129245293597	2	2	"Churn"	0
24	0.70379892698279	2	2	"Churn"	0
25	0.701207963784183	2	2	"Churn"	0
26	0.722029246016323	2	2	"Churn"	0
27	0.677700532872217	2	2	"Churn"	0
28	0.697510155643799	2	2	"Churn"	0
29	0.673071317528177	2	2	"Churn"	0
30	0.702674625495035	2	2	"Churn"	0
1	0.909301547573321	3	3	"Churn"	0
2	0.902118644067797	3	3	"Churn"	0
3	0.682976693471446	2	3	"Churn"	0
4	0.668972931950417	2	3	"Churn"	0
5	0.726361268939394	2	3	"Churn"	0
6	0.889092218852754	3	3	"Churn"	0
7	0.891917404129793	3	3	"Churn"	0
8	0.908732756605097	3	3	"Churn"	0
9	0.731905282845749	2	3	"Churn"	0
10	0.709570199024469	2	3	"Churn"	0
11	0.885769691290541	3	3	"Churn"	0
12	0.677743317087579	2	3	"Churn"	0
13	0.896814555472651	3	3	"Churn"	0
14	0.677596469622332	2	3	"Churn"	0
15	0.668085649047804	2	3	"Churn"	0
16	0.896521837434525	3	3	"Churn"	0
17	0.706329884357882	2	3	"Churn"	0
18	0.892839068825911	3	3	"Churn"	0
19	0.708753795464823	2	3	"Churn"	0
20	0.716366117325993	2	3	"Churn"	0
21	0.699936844150797	2	3	"Churn"	0
22	0.898062176644494	3	3	"Churn"	0
23	0.895408279702405	3	3	"Churn"	0
24	0.701334422657952	2	3	"Churn"	0
25	0.861864079737049	3	3	"Churn"	0
26	0.701485089225119	2	3	"Churn"	0
27	0.899220942253729	3	3	"Churn"	0
28	0.912149854772806	3	3	"Churn"	0
29	0.886923734294161	3	3	"Churn"	0
30	0.869384142849706	3	3	"Churn"	0
1	0.932715688566752	4	4	"Churn"	0
2	0.91378642031139	4	4	"Churn"	0
3	0.889738389040031	4	4	"Churn"	0
4	0.903105647188669	4	4	"Churn"	0
5	0.911589459550185	4	4	"Churn"	0
6	0.926618401206637	4	4	"Churn"	0
7	0.927659574468085	4	4	"Churn"	0
8	0.917826086956522	4	4	"Churn"	0
9	0.924565196268947	4	4	"Churn"	0
10	0.92860626752835	4	4	"Churn"	0
11	0.870409055577147	4	4	"Churn"	0
12	0.900936753020221	4	4	"Churn"	0
13	0.92501871257485	4	4	"Churn"	0
14	0.936072760193932	4	4	"Churn"	0
15	0.934856988135677	4	4	"Churn"	0
16	0.921611508295439	4	4	"Churn"	0
17	0.933394913265247	4	4	"Churn"	0
18	0.912128854751806	4	4	"Churn"	0
19	0.906707607719679	4	4	"Churn"	0
20	0.944300426136364	4	4	"Churn"	0
21	0.91748627702202	4	4	"Churn"	0
22	0.911098330370525	4	4	"Churn"	0
23	0.920605805851707	4	4	"Churn"	0
24	0.932815157197052	4	4	"Churn"	0
25	0.926976171634573	4	4	"Churn"	0
26	0.898895881222444	4	4	"Churn"	0
27	0.922006937788124	4	4	"Churn"	0
28	0.905713572854291	4	4	"Churn"	0
29	0.921765958538588	4	4	"Churn"	0
30	0.891120667847205	4	4	"Churn"	0
1	0.958881791768124	5	5	"Churn"	0
2	0.914391104025077	5	5	"Churn"	0
3	0.9340817100936	5	5	"Churn"	0
4	0.91578410415857	5	5	"Churn"	0
5	0.930136570160609	5	5	"Churn"	0
6	0.910905312060639	5	5	"Churn"	0
7	0.935513673318551	5	5	"Churn"	0
8	0.910473430169614	5	5	"Churn"	0
9	0.870227832512315	5	5	"Churn"	0
10	0.936576952973183	5	5	"Churn"	0
11	0.91393665158371	5	5	"Churn"	0
12	0.89950315641805	5	5	"Churn"	0
13	0.883834351338044	5	5	"Churn"	0
14	0.944605033035367	5	5	"Churn"	0
15	0.931361454250896	5	5	"Churn"	0
16	0.924266638065104	5	5	"Churn"	0
17	0.900660187052998	5	5	"Churn"	0
18	0.932674793330531	5	5	"Churn"	0
19	0.901354515050167	5	5	"Churn"	0
20	0.939100971887857	5	5	"Churn"	0
21	0.916803994696866	5	5	"Churn"	0
22	0.966325431034483	5	5	"Churn"	0
23	0.916364145872343	5	5	"Churn"	0
24	0.936014441287879	5	5	"Churn"	0
25	0.940764554594342	5	5	"Churn"	0
26	0.914868184699915	5	5	"Churn"	0
27	0.917619471450089	5	5	"Churn"	0
28	0.902747844827586	5	5	"Churn"	0
29	0.93425851434701	5	5	"Churn"	0
30	0.938173829567272	5	5	"Churn"	0
1	0.934056886227545	6	6	"Churn"	0
2	0.951197586726999	6	6	"Churn"	0
3	0.938620291165794	6	6	"Churn"	0
4	0.89623008161679	6	6	"Churn"	0
5	0.91511845422752	6	6	"Churn"	0
6	0.944424715909091	6	6	"Churn"	0
7	0.928221997300945	6	6	"Churn"	0
8	0.93818065342729	6	6	"Churn"	0
9	0.95806219809174	6	6	"Churn"	0
10	0.924038318628312	6	6	"Churn"	0
11	0.8993604826546	6	6	"Churn"	0
12	0.940553767766157	6	6	"Churn"	0
13	0.895278258107774	6	6	"Churn"	0
14	0.912541806020067	6	6	"Churn"	0
15	0.921604339588596	6	6	"Churn"	0
16	0.932998122821132	6	6	"Churn"	0
17	0.915996097113012	6	6	"Churn"	0
18	0.907251513808891	6	6	"Churn"	0
19	0.937542508744656	6	6	"Churn"	0
20	0.926565566662102	6	6	"Churn"	0
21	0.924102309348211	6	6	"Churn"	0
22	0.934967390783101	6	6	"Churn"	0
23	0.949497897482936	6	6	"Churn"	0
24	0.89516599759372	6	6	"Churn"	0
25	0.916219325153374	6	6	"Churn"	0
26	0.922386102917076	6	6	"Churn"	0
27	0.88569132755553	6	6	"Churn"	0
28	0.924051695199731	6	6	"Churn"	0
29	0.939562320435234	6	6	"Churn"	0
30	0.911002604166667	6	6	"Churn"	0
1	0.909681108318344	7	7	"Churn"	0
2	0.952181887174298	7	7	"Churn"	0
3	0.93563498003992	7	7	"Churn"	0
4	0.947425073160887	7	7	"Churn"	0
5	0.916408727884138	7	7	"Churn"	0
6	0.903827632880421	7	7	"Churn"	0
7	0.911841850248724	7	7	"Churn"	0
8	0.915753857829497	7	7	"Churn"	0
9	0.914854517611026	7	7	"Churn"	0
10	0.916773024826053	7	7	"Churn"	0
11	0.916203055497045	7	7	"Churn"	0
12	0.931908770317926	7	7	"Churn"	0
13	0.921710914454277	7	7	"Churn"	0
14	0.932802839887072	7	7	"Churn"	0
15	0.906266916275713	7	7	"Churn"	0
16	0.903818670325273	7	7	"Churn"	0
17	0.926313628899836	7	7	"Churn"	0
18	0.906568338249754	7	7	"Churn"	0
19	0.91809931424735	7	7	"Churn"	0
20	0.932371154739923	7	7	"Churn"	0
21	0.940562776463008	7	7	"Churn"	0
22	0.909676394819494	7	7	"Churn"	0
23	0.930979888746256	7	7	"Churn"	0
24	0.89991276683087	7	7	"Churn"	0
25	0.906791320822808	7	7	"Churn"	0
26	0.926121649918842	7	7	"Churn"	0
27	0.908619287689055	7	7	"Churn"	0
28	0.921590561770279	7	7	"Churn"	0
