"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.660649912785064	1	1	"Churn"	"Yes"	0
2	0.701302035576747	1	1	"Churn"	"Yes"	0
3	0.709930139720559	1	1	"Churn"	"Yes"	0
4	0.702259636685866	1	1	"Churn"	"Yes"	0
5	0.684512242518461	1	1	"Churn"	"Yes"	0
6	0.654740829181934	1	1	"Churn"	"Yes"	0
7	0.720163002927165	1	1	"Churn"	"Yes"	0
8	0.690042526832406	1	1	"Churn"	"Yes"	0
9	0.686616944813666	1	1	"Churn"	"Yes"	0
10	0.70418561402168	1	1	"Churn"	"Yes"	0
11	0.693979534706422	1	1	"Churn"	"Yes"	0
12	0.5	0	1	"Churn"	"Yes"	0
13	0.695077828101411	1	1	"Churn"	"Yes"	0
14	0.684935624751858	1	1	"Churn"	"Yes"	0
15	0.690970231953839	1	1	"Churn"	"Yes"	0
16	0.700734478935698	1	1	"Churn"	"Yes"	0
17	0.686550853525267	1	1	"Churn"	"Yes"	0
18	0.707733057691065	1	1	"Churn"	"Yes"	0
19	0.723589678725019	1	1	"Churn"	"Yes"	0
20	0.5	0	1	"Churn"	"Yes"	0
21	0.691611234294161	1	1	"Churn"	"Yes"	0
22	0.685345643939394	1	1	"Churn"	"Yes"	0
23	0.656326932545544	1	1	"Churn"	"Yes"	0
24	0.686846695522967	1	1	"Churn"	"Yes"	0
25	0.687859195402299	1	1	"Churn"	"Yes"	0
26	0.732538802660754	1	1	"Churn"	"Yes"	0
27	0.693824675092618	1	1	"Churn"	"Yes"	0
28	0.671235795454545	1	1	"Churn"	"Yes"	0
29	0.708243418213207	1	1	"Churn"	"Yes"	0
30	0.679473072926218	1	1	"Churn"	"Yes"	0
1	0.702050136027983	2	2	"Churn"	"Yes"	0
2	0.6843197586727	2	2	"Churn"	"Yes"	0
3	0.708006553034264	2	2	"Churn"	"Yes"	0
4	0.704439298974011	2	2	"Churn"	"Yes"	0
5	0.704344835492376	2	2	"Churn"	"Yes"	0
6	0.678522642484073	2	2	"Churn"	"Yes"	0
7	0.717898059387421	2	2	"Churn"	"Yes"	0
8	0.715252137582588	2	2	"Churn"	"Yes"	0
9	0.724162571020252	2	2	"Churn"	"Yes"	0
10	0.692696795155812	2	2	"Churn"	"Yes"	0
11	0.86877224840388	2	2	"Churn"	"Yes"	0
12	0.717861727489455	2	2	"Churn"	"Yes"	0
13	0.681864251269577	2	2	"Churn"	"Yes"	0
14	0.690265740687597	2	2	"Churn"	"Yes"	0
15	0.696947209653092	2	2	"Churn"	"Yes"	0
16	0.706020066889632	2	2	"Churn"	"Yes"	0
17	0.709471766848816	2	2	"Churn"	"Yes"	0
18	0.729524745984923	2	2	"Churn"	"Yes"	0
19	0.700231639965311	2	2	"Churn"	"Yes"	0
20	0.714613347115447	2	2	"Churn"	"Yes"	0
21	0.667785941739874	2	2	"Churn"	"Yes"	0
22	0.69170939578714	2	2	"Churn"	"Yes"	0
23	0.679488041979212	2	2	"Churn"	"Yes"	0
24	0.716341145833333	2	2	"Churn"	"Yes"	0
25	0.697058860993287	2	2	"Churn"	"Yes"	0
26	0.709288767975126	2	2	"Churn"	"Yes"	0
27	0.692742474916388	2	2	"Churn"	"Yes"	0
28	0.696092036626315	2	2	"Churn"	"Yes"	0
29	0.714108296075509	2	2	"Churn"	"Yes"	0
30	0.693359952676723	2	2	"Churn"	"Yes"	0
1	0.711080192259044	2	3	"Churn"	"Yes"	0
2	0.696092839098329	2	3	"Churn"	"Yes"	0
3	0.694333677940235	2	3	"Churn"	"Yes"	0
4	0.877250409165303	3	3	"Churn"	"Yes"	0
5	0.877762492516591	3	3	"Churn"	"Yes"	0
6	0.920540997464074	3	3	"Churn"	"Yes"	0
7	0.70920566502463	2	3	"Churn"	"Yes"	0
8	0.691739750633981	2	3	"Churn"	"Yes"	0
9	0.904318323502614	3	3	"Churn"	"Yes"	0
10	0.862570930293092	3	3	"Churn"	"Yes"	0
11	0.87863218512257	3	3	"Churn"	"Yes"	0
12	0.885398754251213	3	3	"Churn"	"Yes"	0
13	0.700474056298597	2	3	"Churn"	"Yes"	0
14	0.877354885551607	3	3	"Churn"	"Yes"	0
15	0.705250836120401	2	3	"Churn"	"Yes"	0
16	0.884929167720718	3	3	"Churn"	"Yes"	0
17	0.868550724637681	3	3	"Churn"	"Yes"	0
18	0.932316899401539	3	3	"Churn"	"Yes"	0
19	0.911958452435567	3	3	"Churn"	"Yes"	0
20	0.709659090909091	2	3	"Churn"	"Yes"	0
21	0.905323341301118	3	3	"Churn"	"Yes"	0
22	0.872950708061002	3	3	"Churn"	"Yes"	0
23	0.687743070939792	2	3	"Churn"	"Yes"	0
24	0.885150157038501	3	3	"Churn"	"Yes"	0
25	0.880597804989942	3	3	"Churn"	"Yes"	0
26	0.712469306064785	2	3	"Churn"	"Yes"	0
27	0.698714343109683	2	3	"Churn"	"Yes"	0
28	0.881790465631929	3	3	"Churn"	"Yes"	0
29	0.878360700108264	3	3	"Churn"	"Yes"	0
30	0.667418546365915	2	3	"Churn"	"Yes"	0
1	0.940131104555883	4	4	"Churn"	"Yes"	0
2	0.901753890672972	4	4	"Churn"	"Yes"	0
3	0.929713936175751	4	4	"Churn"	"Yes"	0
4	0.927333318296644	4	4	"Churn"	"Yes"	0
5	0.917411263722739	4	4	"Churn"	"Yes"	0
6	0.921594927447872	4	4	"Churn"	"Yes"	0
7	0.923530284358026	4	4	"Churn"	"Yes"	0
8	0.907695297318305	4	4	"Churn"	"Yes"	0
9	0.922605929931981	4	4	"Churn"	"Yes"	0
10	0.94135466734126	4	4	"Churn"	"Yes"	0
11	0.896673768939394	4	4	"Churn"	"Yes"	0
12	0.909131736526946	4	4	"Churn"	"Yes"	0
13	0.923601687144691	4	4	"Churn"	"Yes"	0
14	0.891879320369533	4	4	"Churn"	"Yes"	0
15	0.93343760862009	4	4	"Churn"	"Yes"	0
16	0.917769465128042	4	4	"Churn"	"Yes"	0
17	0.953266968325792	4	4	"Churn"	"Yes"	0
18	0.876276055993643	4	4	"Churn"	"Yes"	0
19	0.898550447730776	4	4	"Churn"	"Yes"	0
20	0.92223533267781	4	4	"Churn"	"Yes"	0
21	0.920765327954031	4	4	"Churn"	"Yes"	0
22	0.906925851213399	4	4	"Churn"	"Yes"	0
23	0.931282051282051	4	4	"Churn"	"Yes"	0
24	0.892621007984032	4	4	"Churn"	"Yes"	0
25	0.902735317779566	4	4	"Churn"	"Yes"	0
26	0.928273322422259	4	4	"Churn"	"Yes"	0
27	0.929080947585479	4	4	"Churn"	"Yes"	0
28	0.916196559575006	4	4	"Churn"	"Yes"	0
29	0.918935823940925	4	4	"Churn"	"Yes"	0
30	0.92588979610249	4	4	"Churn"	"Yes"	0
1	0.903200829094548	5	5	"Churn"	"Yes"	0
2	0.933580814946495	5	5	"Churn"	"Yes"	0
3	0.933043323863636	5	5	"Churn"	"Yes"	0
4	0.910226155358899	5	5	"Churn"	"Yes"	0
5	0.92796226370705	5	5	"Churn"	"Yes"	0
6	0.932235528942116	5	5	"Churn"	"Yes"	0
7	0.949406547387985	5	5	"Churn"	"Yes"	0
8	0.938986332428955	5	5	"Churn"	"Yes"	0
9	0.919289915668627	5	5	"Churn"	"Yes"	0
10	0.916649790939521	5	5	"Churn"	"Yes"	0
11	0.928353658536585	5	5	"Churn"	"Yes"	0
12	0.931512148928307	5	5	"Churn"	"Yes"	0
13	0.931868711610205	5	5	"Churn"	"Yes"	0
14	0.949881628787879	5	5	"Churn"	"Yes"	0
15	0.908296492421298	5	5	"Churn"	"Yes"	0
16	0.87248751760338	5	5	"Churn"	"Yes"	0
17	0.963040077166484	5	5	"Churn"	"Yes"	0
18	0.90038569108625	5	5	"Churn"	"Yes"	0
19	0.922354667155694	5	5	"Churn"	"Yes"	0
20	0.876197604790419	5	5	"Churn"	"Yes"	0
21	0.939585330229586	5	5	"Churn"	"Yes"	0
22	0.933020432649892	5	5	"Churn"	"Yes"	0
23	0.941001644830129	5	5	"Churn"	"Yes"	0
24	0.936172385620915	5	5	"Churn"	"Yes"	0
25	0.94279601442631	5	5	"Churn"	"Yes"	0
26	0.937188155224416	5	5	"Churn"	"Yes"	0
27	0.925274540833453	5	5	"Churn"	"Yes"	0
28	0.931671303942978	5	5	"Churn"	"Yes"	0
29	0.9349894786065	5	5	"Churn"	"Yes"	0
30	0.940706087824351	5	5	"Churn"	"Yes"	0
1	0.941272497008145	6	6	"Churn"	"Yes"	0
2	0.930965798678585	6	6	"Churn"	"Yes"	0
3	0.943436316287879	6	6	"Churn"	"Yes"	0
4	0.94372754649197	6	6	"Churn"	"Yes"	0
5	0.921239604286504	6	6	"Churn"	"Yes"	0
6	0.924556107954545	6	6	"Churn"	"Yes"	0
