"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.672094871324653	1	1	"Churn"	"Yes"	0
2	0.680681818181818	1	1	"Churn"	"Yes"	0
3	0.680229260935143	1	1	"Churn"	"Yes"	0
4	0.681187624750499	1	1	"Churn"	"Yes"	0
5	0.680465640435429	1	1	"Churn"	"Yes"	0
6	0.70633345362685	1	1	"Churn"	"Yes"	0
7	0.676652723869817	1	1	"Churn"	"Yes"	0
8	0.698796336258572	1	1	"Churn"	"Yes"	0
9	0.696609016712009	1	1	"Churn"	"Yes"	0
10	0.711013553403424	1	1	"Churn"	"Yes"	0
11	0.666373796756896	1	1	"Churn"	"Yes"	0
12	0.699075712881023	1	1	"Churn"	"Yes"	0
13	0.700331439393939	1	1	"Churn"	"Yes"	0
14	0.678894876336185	1	1	"Churn"	"Yes"	0
15	0.698712027914614	1	1	"Churn"	"Yes"	0
16	0.718299005184251	1	1	"Churn"	"Yes"	0
17	0.676458521870287	1	1	"Churn"	"Yes"	0
18	0.701732226632985	1	1	"Churn"	"Yes"	0
19	0.707415485278081	1	1	"Churn"	"Yes"	0
20	0.732325993024103	1	1	"Churn"	"Yes"	0
21	0.684856127479078	1	1	"Churn"	"Yes"	0
22	0.668662745375948	1	1	"Churn"	"Yes"	0
23	0.70943211687756	1	1	"Churn"	"Yes"	0
24	0.709212669683258	1	1	"Churn"	"Yes"	0
25	0.721966817496229	1	1	"Churn"	"Yes"	0
26	0.718483835005574	1	1	"Churn"	"Yes"	0
27	0.68556961688424	1	1	"Churn"	"Yes"	0
28	0.5	0	1	"Churn"	"Yes"	0
29	0.708771400937056	1	1	"Churn"	"Yes"	0
30	0.720881450739805	1	1	"Churn"	"Yes"	0
1	0.721634776770728	2	2	"Churn"	"Yes"	0
2	0.673324628577478	2	2	"Churn"	"Yes"	0
3	0.697422946679676	2	2	"Churn"	"Yes"	0
4	0.713568120914483	2	2	"Churn"	"Yes"	0
5	0.682528841186937	2	2	"Churn"	"Yes"	0
6	0.718763197586727	2	2	"Churn"	"Yes"	0
7	0.720677395209581	2	2	"Churn"	"Yes"	0
8	0.694461344200195	2	2	"Churn"	"Yes"	0
9	0.685036240355389	2	2	"Churn"	"Yes"	0
10	0.685775414145119	2	2	"Churn"	"Yes"	0
11	0.703556010398654	2	2	"Churn"	"Yes"	0
12	0.724846117424242	2	2	"Churn"	"Yes"	0
13	0.715835344596407	2	2	"Churn"	"Yes"	0
14	0.687701828106633	2	2	"Churn"	"Yes"	0
15	0.702882637944857	2	2	"Churn"	"Yes"	0
16	0.698667016093488	2	2	"Churn"	"Yes"	0
17	0.86797220121236	2	2	"Churn"	"Yes"	0
18	0.669761975089844	2	2	"Churn"	"Yes"	0
19	0.722140315482591	2	2	"Churn"	"Yes"	0
20	0.688193093535877	2	2	"Churn"	"Yes"	0
21	0.702980743867054	2	2	"Churn"	"Yes"	0
22	0.705462831439394	2	2	"Churn"	"Yes"	0
23	0.70853209758757	2	2	"Churn"	"Yes"	0
24	0.679528739238035	2	2	"Churn"	"Yes"	0
25	0.700954970908171	2	2	"Churn"	"Yes"	0
26	0.711190067156021	2	2	"Churn"	"Yes"	0
27	0.70502150265621	2	2	"Churn"	"Yes"	0
28	0.713016294983508	2	2	"Churn"	"Yes"	0
29	0.691349136021267	2	2	"Churn"	"Yes"	0
30	0.716934880239521	2	2	"Churn"	"Yes"	0
1	0.877110008152304	3	3	"Churn"	"Yes"	0
2	0.703268945022288	2	3	"Churn"	"Yes"	0
3	0.677259318852239	2	3	"Churn"	"Yes"	0
4	0.715658993169744	2	3	"Churn"	"Yes"	0
5	0.733476796407186	2	3	"Churn"	"Yes"	0
6	0.884179522400676	3	3	"Churn"	"Yes"	0
7	0.713190057757231	2	3	"Churn"	"Yes"	0
8	0.68294591543514	2	3	"Churn"	"Yes"	0
9	0.676014035576934	2	3	"Churn"	"Yes"	0
10	0.898060231141802	3	3	"Churn"	"Yes"	0
11	0.872823279572978	3	3	"Churn"	"Yes"	0
12	0.908792753396845	3	3	"Churn"	"Yes"	0
13	0.85411887873334	3	3	"Churn"	"Yes"	0
14	0.89436787496873	3	3	"Churn"	"Yes"	0
15	0.916901948481997	3	3	"Churn"	"Yes"	0
16	0.898407902939625	3	3	"Churn"	"Yes"	0
17	0.899746708959299	3	3	"Churn"	"Yes"	0
18	0.905468227424749	3	3	"Churn"	"Yes"	0
19	0.886465215701516	3	3	"Churn"	"Yes"	0
20	0.674096544447375	2	3	"Churn"	"Yes"	0
21	0.691161297718675	2	3	"Churn"	"Yes"	0
22	0.880715808514762	3	3	"Churn"	"Yes"	0
23	0.729487376847291	2	3	"Churn"	"Yes"	0
24	0.712848932676519	2	3	"Churn"	"Yes"	0
25	0.907269984917044	3	3	"Churn"	"Yes"	0
26	0.893707390648567	3	3	"Churn"	"Yes"	0
27	0.721944228527011	2	3	"Churn"	"Yes"	0
28	0.892443783068783	3	3	"Churn"	"Yes"	0
29	0.679351125727296	2	3	"Churn"	"Yes"	0
30	0.903168662674651	3	3	"Churn"	"Yes"	0
1	0.897712559343979	4	4	"Churn"	"Yes"	0
2	0.906971761097077	4	4	"Churn"	"Yes"	0
3	0.932270666113979	4	4	"Churn"	"Yes"	0
4	0.899532382511106	4	4	"Churn"	"Yes"	0
5	0.931550034701392	4	4	"Churn"	"Yes"	0
6	0.922858079318256	4	4	"Churn"	"Yes"	0
7	0.928449171709762	4	4	"Churn"	"Yes"	0
8	0.942272176541859	4	4	"Churn"	"Yes"	0
9	0.923089233132761	4	4	"Churn"	"Yes"	0
10	0.906674761792657	4	4	"Churn"	"Yes"	0
11	0.893790412486065	4	4	"Churn"	"Yes"	0
12	0.904006617752841	4	4	"Churn"	"Yes"	0
13	0.904191362223086	4	4	"Churn"	"Yes"	0
14	0.914467193579497	4	4	"Churn"	"Yes"	0
15	0.892072398190045	4	4	"Churn"	"Yes"	0
16	0.906562300004923	4	4	"Churn"	"Yes"	0
17	0.94961763382816	4	4	"Churn"	"Yes"	0
18	0.898162489003432	4	4	"Churn"	"Yes"	0
19	0.939624183006536	4	4	"Churn"	"Yes"	0
20	0.893190635149765	4	4	"Churn"	"Yes"	0
21	0.91984267453294	4	4	"Churn"	"Yes"	0
22	0.922415468324913	4	4	"Churn"	"Yes"	0
23	0.907976487435329	4	4	"Churn"	"Yes"	0
24	0.924760312151616	4	4	"Churn"	"Yes"	0
25	0.895618664157147	4	4	"Churn"	"Yes"	0
26	0.928267232967916	4	4	"Churn"	"Yes"	0
27	0.915118886837573	4	4	"Churn"	"Yes"	0
28	0.911757036793061	4	4	"Churn"	"Yes"	0
29	0.895167646488791	4	4	"Churn"	"Yes"	0
30	0.950367493775835	4	4	"Churn"	"Yes"	0
1	0.912070376432079	5	5	"Churn"	"Yes"	0
2	0.941623881734904	5	5	"Churn"	"Yes"	0
3	0.941495811287478	5	5	"Churn"	"Yes"	0
4	0.913227982954545	5	5	"Churn"	"Yes"	0
5	0.92899867080195	5	5	"Churn"	"Yes"	0
6	0.927648189320571	5	5	"Churn"	"Yes"	0
7	0.923939620042473	5	5	"Churn"	"Yes"	0
8	0.91693215339233	5	5	"Churn"	"Yes"	0
9	0.927674920801956	5	5	"Churn"	"Yes"	0
10	0.919531052470491	5	5	"Churn"	"Yes"	0
11	0.932403632894297	5	5	"Churn"	"Yes"	0
12	0.912789338321253	5	5	"Churn"	"Yes"	0
13	0.896691606266074	5	5	"Churn"	"Yes"	0
14	0.912892964071856	5	5	"Churn"	"Yes"	0
15	0.900868364599023	5	5	"Churn"	"Yes"	0
16	0.937572729572477	5	5	"Churn"	"Yes"	0
17	0.942901696606786	5	5	"Churn"	"Yes"	0
18	0.921742980015178	5	5	"Churn"	"Yes"	0
19	0.924386980063687	5	5	"Churn"	"Yes"	0
20	0.941598793363499	5	5	"Churn"	"Yes"	0
21	0.923727554012241	5	5	"Churn"	"Yes"	0
22	0.924078431372549	5	5	"Churn"	"Yes"	0
23	0.928924005681818	5	5	"Churn"	"Yes"	0
24	0.956357997341604	5	5	"Churn"	"Yes"	0
25	0.9367420517863	5	5	"Churn"	"Yes"	0
26	0.904761337510572	5	5	"Churn"	"Yes"	0
27	0.92545082401101	5	5	"Churn"	"Yes"	0
28	0.955957500632431	5	5	"Churn"	"Yes"	0
29	0.899668387534386	5	5	"Churn"	"Yes"	0
30	0.922664931967258	5	5	"Churn"	"Yes"	0
1	0.919633816574744	6	6	"Churn"	"Yes"	0
2	0.931660504815373	6	6	"Churn"	"Yes"	0
3	0.906302014578431	6	6	"Churn"	"Yes"	0
4	0.917001508295626	6	6	"Churn"	"Yes"	0
5	0.921946051767505	6	6	"Churn"	"Yes"	0
6	0.927596469622332	6	6	"Churn"	"Yes"	0
7	0.932160678642715	6	6	"Churn"	"Yes"	0
8	0.93871872808043	6	6	"Churn"	"Yes"	0
9	0.922843852962078	6	6	"Churn"	"Yes"	0
10	0.930669114929786	6	6	"Churn"	"Yes"	0
11	0.913755705483918	6	6	"Churn"	"Yes"	0
12	0.923549952651515	6	6	"Churn"	"Yes"	0
13	0.943117226972406	6	6	"Churn"	"Yes"	0
14	0.930498202487369	6	6	"Churn"	"Yes"	0
15	0.916032836114803	6	6	"Churn"	"Yes"	0
16	0.916331456154465	6	6	"Churn"	"Yes"	0
17	0.940977264413431	6	6	"Churn"	"Yes"	0
18	0.91226287682605	6	6	"Churn"	"Yes"	0
19	0.910831774195547	6	6	"Churn"	"Yes"	0
20	0.895121951219512	6	6	"Churn"	"Yes"	0
21	0.931888845705402	6	6	"Churn"	"Yes"	0
22	0.893561872909699	6	6	"Churn"	"Yes"	0
23	0.917151897989672	6	6	"Churn"	"Yes"	0
24	0.933524675207506	6	6	"Churn"	"Yes"	0
25	0.930240394111564	6	6	"Churn"	"Yes"	0
26	0.91754734627075	6	6	"Churn"	"Yes"	0
27	0.914117647058823	6	6	"Churn"	"Yes"	0
28	0.917034266153792	6	6	"Churn"	"Yes"	0
29	0.932300884955752	6	6	"Churn"	"Yes"	0
30	0.938273020240233	6	6	"Churn"	"Yes"	0
1	0.941051738761662	7	7	"Churn"	"Yes"	0
2	0.939817859853276	7	7	"Churn"	"Yes"	0
3	0.905742474070326	7	7	"Churn"	"Yes"	0
4	0.928434100683026	7	7	"Churn"	"Yes"	0
5	0.88668469578712	7	7	"Churn"	"Yes"	0
6	0.932428632557002	7	7	"Churn"	"Yes"	0
7	0.922768906152592	7	7	"Churn"	"Yes"	0
8	0.950407483523492	7	7	"Churn"	"Yes"	0
9	0.936964362124824	7	7	"Churn"	"Yes"	0
10	0.970637638090316	7	7	"Churn"	"Yes"	0
11	0.914558069381599	7	7	"Churn"	"Yes"	0
12	0.889607425441266	7	7	"Churn"	"Yes"	0
13	0.903748793881854	7	7	"Churn"	"Yes"	0
14	0.90797986253602	7	7	"Churn"	"Yes"	0
15	0.891458538184202	7	7	"Churn"	"Yes"	0
16	0.921350645273414	7	7	"Churn"	"Yes"	0
17	0.949195684475741	7	7	"Churn"	"Yes"	0
18	0.928629156403941	7	7	"Churn"	"Yes"	0
19	0.954824763957307	7	7	"Churn"	"Yes"	0
20	0.953736523408655	7	7	"Churn"	"Yes"	0
21	0.925227703404854	7	7	"Churn"	"Yes"	0
22	0.907132243684993	7	7	"Churn"	"Yes"	0
23	0.928980989058011	7	7	"Churn"	"Yes"	0
24	0.927957688621115	7	7	"Churn"	"Yes"	0
25	0.932686462473696	7	7	"Churn"	"Yes"	0
26	0.9181585211815	7	7	"Churn"	"Yes"	0
27	0.916067864271457	7	7	"Churn"	"Yes"	0
28	0.939313271604938	7	7	"Churn"	"Yes"	0
29	0.917988311431791	7	7	"Churn"	"Yes"	0
30	0.921026602113593	7	7	"Churn"	"Yes"	0
1	0.933010879732191	8	8	"Churn"	"Yes"	0
2	0.925215026562105	8	8	"Churn"	"Yes"	0
3	0.930969311377245	8	8	"Churn"	"Yes"	0
4	0.92151063933152	8	8	"Churn"	"Yes"	0
5	0.923787066347955	8	8	"Churn"	"Yes"	0
6	0.933308306966268	8	8	"Churn"	"Yes"	0
7	0.907199302134647	8	8	"Churn"	"Yes"	0
8	0.936104092634879	8	8	"Churn"	"Yes"	0
9	0.893773751887136	8	8	"Churn"	"Yes"	0
10	0.923565299007777	8	8	"Churn"	"Yes"	0
11	0.916081003696184	8	8	"Churn"	"Yes"	0
12	0.888365824841235	8	8	"Churn"	"Yes"	0
13	0.900578676642506	8	8	"Churn"	"Yes"	0
14	0.922824471865108	8	8	"Churn"	"Yes"	0
15	0.915116355293346	8	8	"Churn"	"Yes"	0
16	0.931175149700599	8	8	"Churn"	"Yes"	0
17	0.915877719622332	8	8	"Churn"	"Yes"	0
18	0.892111655481905	8	8	"Churn"	"Yes"	0
19	0.89609211048721	8	8	"Churn"	"Yes"	0
